1256655666 1256657739 2073
1256663958 1256673192 9234
1256673691 1256756709 83018
1256766682 1256772748 6066
1256775368 1256798948 23580
1256809201 1256821151 11950
1256821199 1256821222 23
1256827739 1256835798 8059
1256838093 1256838252 159
1256838369 1256838835 466
1256838869 1256838894 25
1256874558 1256890940 16382
1256891012 1256903452 12440
1256903719 1256910776 7057
1256915116 1256916066 950
1256918388 1256920060 1672
1256920132 1256920380 248
1256920452 1256923518 3066
1256958170 1256959868 1698
1256965469 1256967668 2199
1256971138 1256973055 1917
1256975290 1256977603 2313
1256983637 1257001290 17653
1257022015 1257022063 48
1257023096 1257024772 1676
1257026995 1257071417 44422
1257086693 1257109230 22537
1257126433 1257126610 177
1257126704 1257169291 42587
1257169443 1257180792 11349
1257192110 1257195915 3805
1257223095 1257223103 8
1257223476 1257233958 10482
1257241534 1257242362 828
1257257516 1257257833 317
1257257880 1257326803 68923
1257360643 1257387255 26612
1257395960 1257412445 16485
1257415979 1257499836 83857
1257531026 1257531580 554
1257531662 1257544861 13199
1257549313 1257550139 826
1257560411 1257570585 10174
1257642805 1257685622 42817
1257738906 1257757910 19004
1257758193 1257784787 26594
1257816219 1257899409 83190
1257899421 1257985356 85935
1257992320 1258033994 41674
1258034281 1258036580 2299
1258052692 1258060601 7909
1258060623 1258076212 15589
1258076663 1258110327 33664
1258111092 1258128953 17861
1258141647 1258141661 14
1258141693 1258162837 21144
1258162973 1258208151 45178
1258245192 1258245335 143
1258245387 1258259482 14095
1258274014 1258274939 925
1258275379 1258277164 1785
1258277493 1258298411 20918
1258298938 1258311548 12610
1258311926 1258318837 6911
1258324856 1258333587 8731
1258338367 1258409788 71421
1258409860 1258418554 8694
1258421604 1258439383 17779
1258446227 1258453276 7049
1258456705 1258480168 23463
1258487006 1258592941 105935
1258593143 1258594298 1155
1258605337 1258749120 143783
1258749140 1258750775 1635
1258758110 1258773462 15352
1258784522 1258815801 31279
1258837423 1258837531 108
1258837564 1258846012 8448
1258846084 1258923614 77530
1258929433 1258984172 54739
1258992472 1259006681 14209
1259006811 1259056815 50004
1259059382 1259126052 66670
1259131422 1259136094 4672
1259139755 1259145212 5457
1259145729 1259183804 38075
1259183876 1259184008 132
1259309010 1259357517 48507
1259362537 1259364284 1747
1259364420 1259420626 56206
1259441610 1259441658 48
1259441695 1259459382 17687
1259462773 1259469031 6258
1259469207 1259475473 6266
1259475559 1259481051 5492
1259481147 1259481824 677
1259481907 1259488174 6267
1259488256 1259494523 6267
1259494604 1259500872 6268
1259500955 1259507220 6265
1259507346 1259513609 6263
1259513705 1259519969 6264
1259520915 1259526363 5448
1259526469 1259528433 1964
1259534118 1259540341 6223
1259540442 1259546707 6265
1259546810 1259553076 6266
1259553174 1259559440 6266
1259559521 1259565789 6268
1259565870 1259568494 2624
1259574343 1259605756 31413
1259606139 1259631316 25177
1259639019 1259733891 94872
1259733983 1259740251 6268
1259740336 1259746599 6263
1259746679 1259752947 6268
1259753028 1259759296 6268
1259759377 1259765641 6264
1259791400 1259792900 1500
1259798434 1259854875 56441
1259855839 1260025304 169465
1260025351 1260025439 88
1260087386 1260087621 235
1260088004 1260133265 45261
1260143085 1260221430 78345
1260225011 1260428434 203423
1260438984 1260540983 101999
1260756883 1260794938 38055
1260802424 1260840860 38436
1260843278 1260904975 61697
1260907617 1260910015 2398
1260919391 1260937455 18064
1260937721 1260962668 24947
1260962926 1260969189 6263
1260969328 1260975569 6241
1260975859 1260980139 4280
1261007858 1261026570 18712
1261034390 1261087984 53594
1261088031 1261139463 51432
1261142925 1261151977 9052
1261160474 1261164511 4037
1261181249 1261241600 60351
1261242145 1261242303 158
1261243755 1261250375 6620
1261266023 1261269052 3029
1261269124 1261280590 11466
1261289929 1261338933 49004
