1256655642 1256656237 595
1256656245 1256656693 448
1256656701 1256663997 7296
1256664005 1256667669 3664
1256667677 1256668637 960
1256668645 1256672045 3400
1256672053 1256687845 15792
1256687853 1256694637 6784
1256694645 1256696237 1592
1256696245 1256701029 4784
1256701037 1256702501 1464
1256702509 1256705949 3440
1256705957 1256707253 1296
1256707261 1256708605 1344
1256708613 1256711333 2720
1256711341 1256714349 3008
1256714357 1256723266 8909
1256725615 1256726041 426
1256726057 1256730833 4776
1256730841 1256732713 1872
1256732721 1256734257 1536
1256734265 1256737137 2872
1256737145 1256741945 4800
1256741961 1256747489 5528
1256747497 1256749681 2184
1256749689 1256752135 2446
1256752144 1256753361 1217
1256753472 1256756500 3028
1256758563 1256758717 154
1256758725 1256759165 440
1256761790 1256767693 5903
1256767701 1256770421 2720
1256770429 1256779175 8746
1256779326 1256779327 1
1256782151 1256795152 13001
1256795168 1256795342 174
1256795358 1256798659 3301
1256799153 1256805072 5919
1256806471 1256808039 1568
1256808047 1256808698 651
1256811657 1256815694 4037
1256817455 1256819145 1690
1256821150 1256830560 9410
1256830568 1256831816 1248
1256831824 1256837640 5816
1256837648 1256839119 1471
1256840641 1256841414 773
1256841422 1256842332 910
1256842333 1256842997 664
1256844498 1256846707 2209
1256846715 1256848891 2176
1256848899 1256849099 200
1256850536 1256855988 5452
1256855996 1256859548 3552
1256859556 1256859636 80
1256859644 1256859892 248
1256859900 1256860376 476
1256865595 1256865601 6
1256865627 1256865639 12
1256865673 1256865677 4
1256866258 1256866264 6
1256867782 1256872195 4413
1256872203 1256874175 1972
1256874176 1256875667 1491
1256875683 1256878699 3016
1256878707 1256880907 2200
1256880915 1256882019 1104
1256882075 1256882083 8
1256882115 1256882171 56
1256882187 1256883831 1644
1256883832 1256884435 603
1256884443 1256884459 16
1256884467 1256885515 1048
1256885523 1256885891 368
1256885899 1256886723 824
1256886779 1256886795 16
1256886803 1256886843 40
1256886851 1256886855 4
1256887074 1256887259 185
1256887267 1256887299 32
1256887307 1256887347 40
1256887351 1256887355 4
1256887802 1256888132 330
1256888294 1256888524 230
1256888532 1256888676 144
1256888684 1256888708 24
1256888717 1256888721 4
1256889056 1256889588 532
1256889597 1256889601 4
1256890185 1256890332 147
1256890340 1256890612 272
1256890621 1256890625 4
1256890808 1256891012 204
1256891020 1256891052 32
1256891060 1256891484 424
1256891508 1256891524 16
1256891532 1256891556 24
1256891558 1256891562 4
1256893165 1256893624 459
1256893632 1256893720 88
1256902000 1256902009 9
1256902219 1256902224 5
1256902308 1256902315 7
1256902398 1256902407 9
1256902439 1256902451 12
1256902483 1256902494 11
1256902634 1256902637 3
1256902787 1256902790 3
1256902888 1256904147 1259
1256904155 1256904803 648
1256904811 1256905571 760
1256905587 1256905618 31
1256905619 1256905907 288
1256905915 1256906419 504
1256906427 1256906491 64
1256906499 1256908315 1816
1256908323 1256908807 484
1256915258 1256915534 276
1256915542 1256916846 1304
1256916854 1256917998 1144
1256918006 1256919038 1032
1256919046 1256919862 816
1256919870 1256920694 824
1256920702 1256921894 1192
1256921902 1256921990 88
1256921998 1256922246 248
1256922254 1256922534 280
1256922550 1256923038 488
1256923046 1256923094 48
1256923102 1256923398 296
1256923406 1256925646 2240
1256925654 1256926038 384
1256926046 1256926438 392
1256926454 1256928862 2408
1256928870 1256929902 1032
1256929910 1256930404 494
1256930408 1256930448 40
1256930452 1256930468 16
1256930472 1256931750 1278
1256931758 1256932086 328
1256932094 1256932526 432
1256932534 1256933534 1000
1256933542 1256933998 456
1256934014 1256938006 3992
1256938014 1256938038 24
1256938054 1256939822 1768
1256939830 1256940334 504
1256940342 1256940718 376
1256940726 1256941342 616
1256941350 1256941446 96
1256941454 1256941926 472
1256941934 1256942094 160
1256942102 1256943453 1351
1256953160 1256953958 798
1256953966 1256955926 1960
1256955934 1256957030 1096
1256957038 1256959030 1992
1256959046 1256960358 1312
1256960366 1256962054 1688
1256962062 1256962078 16
1256962094 1256963878 1784
1256963886 1256965342 1456
1256965358 1256965926 568
1256965942 1256966046 104
1256966054 1256966438 384
1256966446 1256966878 432
1256966886 1256968198 1312
1256968206 1256969198 992
1256969206 1256969374 168
1256969382 1256969766 384
1256969774 1256970683 909
1256994465 1257004467 10002
1257007351 1257011191 3840
1257011198 1257025730 14532
1257025738 1257025746 8
1257025762 1257027570 1808
1257031830 1257033233 1403
1257033277 1257043929 10652
1257045338 1257060037 14699
1257064161 1257068650 4489
1257070715 1257076197 5482
1257077442 1257082678 5236
1257086655 1257088418 1763
1257088456 1257088820 364
1257103290 1257124211 20921
1257124219 1257150458 26239
1257171329 1257171330 1
1257171338 1257189648 18310
1257189668 1257193410 3742
1257193418 1257202737 9319
1257207684 1257213670 5986
1257213678 1257285854 72176
1257285862 1257286374 512
1257286382 1257286588 206
1257286590 1257290502 3912
1257290510 1257291926 1416
1257291934 1257293598 1664
1257293606 1257294558 952
1257297053 1257297235 182
1257297243 1257303163 5920
1257303171 1257304059 888
1257304067 1257304571 504
1257304579 1257305803 1224
1257305819 1257308107 2288
1257308115 1257308347 232
1257308355 1257309627 1272
1257309635 1257310955 1320
1257310963 1257313347 2384
1257313355 1257315507 2152
1257316897 1257317518 621
1257317526 1257319238 1712
1257319246 1257321590 2344
1257321598 1257322190 592
1257322206 1257325222 3016
1257325230 1257325358 128
1257325374 1257325382 8
1257327706 1257335751 8045
1257335759 1257341735 5976
1257341743 1257347415 5672
1257347423 1257348082 659
1257348083 1257348383 300
1257348391 1257353559 5168
1257353567 1257356023 2456
1257356031 1257359135 3104
